"Top values of prometheus.labels.route","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","Rate of requests","Rate of requests"
Other,"10:29:30","281,345","0.467/s","0.467/s"
Other,"10:30:00","281,358","0.433/s","0.433/s"
Other,"10:30:30","281,372","0.467/s","0.467/s"
Other,"10:31:00","281,385","0.433/s","0.433/s"
Other,"10:31:30","281,399","0.467/s","0.467/s"
Other,"10:32:00","281,412","0.433/s","0.433/s"
Other,"10:32:30","281,426","0.467/s","0.467/s"
Other,"10:33:00","281,439","0.433/s","0.433/s"
Other,"10:33:30","281,453","0.467/s","0.467/s"
Other,"10:34:00","281,466","0.433/s","0.433/s"
Other,"10:34:30","281,480","0.467/s","0.467/s"
Other,"10:35:00","281,493","0.433/s","0.433/s"
Other,"10:35:30","281,507","0.467/s","0.467/s"
Other,"10:36:00","281,509","0.234/s","0.234/s"
