"Top values of prometheus.labels.status","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","requests per status code","requests per status code"
500,"13:36:30",26,"0/s","0/s"
500,"13:37:00",26,"0/s","0/s"
500,"13:37:30",26,"0/s","0/s"
500,"13:38:00",26,"0/s","0/s"
500,"13:38:30",26,"0/s","0/s"
500,"13:39:00",26,"0/s","0/s"
500,"13:39:30",26,"0/s","0/s"
500,"13:40:00",26,"0/s","0/s"
500,"13:40:30",56,"1/s","1/s"
500,"13:41:00",56,"0/s","0/s"
500,"13:41:30",56,"0/s","0/s"
500,"13:42:00",56,"0/s","0/s"
500,"13:42:30",56,"0/s","0/s"
500,"13:43:00",56,"0/s","0/s"
500,"13:43:30",56,"0/s","0/s"
500,"13:44:00",56,"0/s","0/s"
500,"13:44:30",56,"0/s","0/s"
500,"13:45:00",56,"0/s","0/s"
500,"13:45:30",56,"0/s","0/s"
500,"13:46:00",56,"0/s","0/s"
500,"13:46:30",56,"0/s","0/s"
500,"13:47:00",56,"0/s","0/s"
500,"13:47:30",56,"0/s","0/s"
500,"13:48:00",56,"0/s","0/s"
500,"13:48:30",56,"0/s","0/s"
500,"13:49:00",56,"0/s","0/s"
500,"13:49:30",56,"0/s","0/s"
500,"13:50:00",56,"0/s","0/s"
500,"13:50:30",56,"0/s","0/s"
500,"13:51:00",56,"0/s","0/s"
500,"13:51:30",56,"0/s","0/s"
500,"13:52:00",56,"0/s","0/s"
500,"13:52:30",56,"0/s","0/s"
500,"13:53:00",56,"0/s","0/s"
500,"13:53:30",56,"0/s","0/s"
500,"13:54:00",56,"0/s","0/s"
500,"13:54:30",56,"0/s","0/s"
500,"13:55:00",56,"0/s","0/s"
500,"13:55:30",56,"0/s","0/s"
500,"13:56:00",56,"0/s","0/s"
500,"13:56:30",56,"0/s","0/s"
500,"13:57:00",56,"0/s","0/s"
500,"13:57:30",56,"0/s","0/s"
500,"13:58:00",56,"0/s","0/s"
500,"13:58:30",56,"0/s","0/s"
